Data;IPCA;IPCA-E;INPC;IGPM;INCC;TR;ENCOGE;SELIC
01/02/1990;0,494544314;0,008072252;0,511630006;0,824061115;0,703222676;0,013821997;0,6321319;5,6124
01/03/1990;0,281422816;0,008072252;0,294057133;0,454554093;0,413052967;0,013821997;0,3658588;5,6124
01/04/1990;0,154297284;0,008072252;0,161410217;0,247107417;0,231518955;0,013821997;0,1984911;5,6124
01/05/1990;0,133567593;0,008072252;0,140760632;0,19252623;0,227716096;0,013821997;0,1370795;5,6124
01/06/1990;0,124144989;0,008072252;0,131171962;0,181748542;0,225483806;0,013821997;0,1270784;5,6124
01/07/1990;0,111091712;0,008072252;0,117495487;0,165316119;0,209908589;0,013821997;0,1160004;5,6124
01/08/1990;0,0983809;0,008072252;0,104329148;0,1475905;0,179916507;0,013821997;0,1027279;5,6124
01/09/1990;0,087155298;0,008072252;0,093001559;0,129898346;0,159063307;0,013821997;0,0916968;5,6124
01/10/1990;0,076178042;0,008072252;0,081394678;0,115158108;0,143468303;0,013821997;0,0813203;5,6124
01/11/1990;0,066612489;0,008072252;0,071130541;0,101936893;0,128694208;0,013821997;0,0712087;5,6124
01/12/1990;0,057026358;0,008072252;0,060836932;0,087229927;0,113838309;0,013821997;0,0616099;5,6124
01/01/1991;0,048147887;0,008072252;0,051063397;0,073923667;0,096875422;0,013821997;0,0520794;5,6124
01/02/1991;0,039874027;0,008072252;0,042218601;0,062806854;0,082778281;0,013821997;0,043432;5,6124
01/03/1991;0,033030175;0,008072252;0,035123628;0,051897913;0,071669507;0,012917754;0,035638;5,6124
01/04/1991;0,029512308;0,008072252;0,031419293;0,047529914;0,066158504;0,011905764;0,0318794;5,6124
01/05/1991;0,028109637;0,008072252;0,029920287;0,044086739;0,06196357;0,010929738;0,0303585;5,6124
01/06/1991;0,026165537;0,008072252;0,028046763;0,041018552;0,054742972;0,010028203;0,0284575;5,6124
01/07/1991;0,023532276;0,008072252;0,025306111;0,037812087;0,049685036;0,009166547;0,0256767;5,6124
01/08/1991;0,020934326;0,008072252;0,022566534;0,033397003;0,043732977;0,008329439;0,022897;5,6124
01/09/1991;0,01810458;0,008072252;0,019517846;0,028977877;0,038151424;0,007440321;0,0198037;5,6124
01/10/1991;0,015657338;0,008072252;0,01688103;0,025213501;0,031501465;0,006371228;0,0171282;5,6124
